,numberFire_FP,numberFire_CI,Ranks_Ovr.,Ranks_Pos.,Passing_C/A,Passing_Yds,Passing_TDs,Passing_Ints,Rushing_Att,Rushing_Yds,Rushing_TDs,Receiving_Rec,Receiving_Tgt,Receiving_Yds,Receiving_TDs
"Nyheim Hines  N. Hines  (RB, IND)",77.92,58-97.84,#187,#50,0.00/0.00,0.0,0.0,0.0,41.72,173.36,1.46,49.31,69.57,364.09,2.58
"Darius Slayton  D. Slayton  (WR, NYG)",77.56,58.11-97.01,#188,#79,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,46.01,80.44,591.17,3.13
"Alexander Mattison  A. Mattison  (RB, MIN)",77.25,57.38-97.12,#189,#51,0.00/0.00,0.0,0.0,0.0,92.46,411.54,3.05,16.83,23.26,130.85,0.88
"Eric Ebron  E. Ebron  (TE, PIT)",76.73,57.35-96.11,#190,#22,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,51.32,80.99,505.49,4.46
"Josh Reynolds  J. Reynolds  (WR, TEN)",75.74,56.45-95.03,#191,#80,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,44.83,76.87,525.57,3.94
"Amon-Ra St. Brown  A. St. Brown  (WR, DET)",73.84,54.71-92.97,#192,#81,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,49.11,75.24,565.46,2.98
"Rashaad Penny  R. Penny  (RB, SEA)",72.69,53.19-92.19,#193,#52,0.00/0.00,0.0,0.0,0.0,79.76,353.06,2.65,19.71,26.83,149.83,1.15
"Nico Collins  N. Collins  (WR, HOU)",72.03,53.05-91.01,#194,#82,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,39.57,63.6,542.38,3.03
"Austin Hooper  A. Hooper  (TE, CLE)",71.83,52.88-90.78,#195,#23,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,48.94,67.8,479.17,3.95
"Jakobi Meyers  J. Meyers  (WR, NE)",71.52,52.59-90.45,#196,#83,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,43.89,69.79,554.81,2.73
"Zach Ertz  Z. Ertz  (TE, PHI)",70.56,51.71-89.41,#197,#24,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,52.19,83.2,496.64,3.53
